CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3/31/2015,16:50,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3196115,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/1/2020,20:17,BROOKLYN,11220,40.643875,-74.01887,POINT (-74.01887 40.643875),3 AVENUE                        ,57 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,4295755,Sedan,,,,
10/15/2013,13:20,,,,,,FOREST HILL ROAD                ,JASPER STREET                   ,,1,0,0,0,0,0,1,0,Steering Failure,,,,,291688,PASSENGER VEHICLE,,,,
3/1/2020,22:30,BRONX,10454,40.8079,-73.916016,POINT (-73.916016 40.8079),,,575       EAST 140 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4295804,Sedan,,,,
11/21/2019,15:00,,,,,,HUTCHINSON RIVER PARKWAY RAMP   ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4246246,Station Wagon/Sport Utility Vehicle,Sedan,,,
2/16/2019,12:13,,,40.683804,-73.833534,POINT (-73.833534 40.683804),LIBERTY AVENUE                  ,108 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,4081869,Sedan,,,,
3/31/2015,17:30,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3195691,VAN,VAN,,,
11/21/2019,15:20,QUEENS,11374,,,,,,92-85     QUEENS BOULEVARD              ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4245205,Sedan,,,,
10/15/2013,14:50,,,,,,69 STREET                       ,QUEENS MIDTOWN EXPRESSWAY       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,217882,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
8/3/2019,9:25,,,,,,BROOKLYN BRIDGE                 ,,,1,0,0,0,1,0,0,0,Unspecified,,,,,4182026,Bike,,,,
10/15/2013,15:40,,,,,,150 STREET                      ,LONG ISLAND EXPRESSWAY          ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,252587,PASSENGER VEHICLE,UNKNOWN,,,
3/31/2015,20:23,QUEENS,11378,40.7312831,-73.9234604,POINT (-73.9234604 40.7312831),54 ROAD                         ,44 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3195993,PASSENGER VEHICLE,OTHER,,,
2/29/2020,0:09,,,,,,PELHAM PARKWAY NORTH            ,WILLIAMSBRIDGE ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4296682,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
3/31/2015,20:50,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3195682,SPORT UTILITY / STATION WAGON,OTHER,,,
3/31/2015,2:15,,,,,,,,PARKING LOT OF 67-11 KISSENA BLVD       ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3195336,PASSENGER VEHICLE,,,,
9/1/2017,8:52,,,,,,Johnson Avenue                  ,Morgan Avenue,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inexperience,,,,3742938,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2/29/2020,16:33,,,,,,THROGS NECK EXPRESSWAY          ,LAWTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4295857,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/21/2019,22:49,,,,,,BROOKLYN QUEENS EXPRESSWAY RAMP ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4245477,Sedan,,,,
2/29/2020,18:30,BRONX,10465,40.825497,-73.82529,POINT (-73.82529 40.825497),,,712       QUINCY AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,4297529,Sedan,,,,
3/11/2019,18:00,,,,,,LINDEN PLACE                    ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4095162,Sedan,Sedan,,,
10/15/2013,20:29,,,,,,PORT RICHMOND AVENUE            ,RAINBOW AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,291693,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/11/2019,1:10,,,,,,WILLIS AVE BRIDGE               ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4095476,Sedan,,,,
3/30/2015,10:40,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3194530,PASSENGER VEHICLE,VAN,,,
3/11/2019,4:10,,,40.701077,-74.01344,POINT (-74.01344 40.701077),FDR DRIVE                       ,,,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,4095929,Sedan,,,,
8/31/2017,14:00,,,40.798836,-73.966866,POINT (-73.966866 40.798836),AMSTERDAM AVENUE                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3741687,Flat Bed,trlr,,,
3/30/2015,13:46,,,,,,FLATBUSH AVENUE                 ,GRAND ARMY PLAZA                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3194649,OTHER,PASSENGER VEHICLE,,,
2/29/2020,9:35,BRONX,10467,40.88624,-73.86333,POINT (-73.86333 40.88624),,,649       EAST 222 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4295965,Sedan,,,,
3/11/2019,8:18,,,,,,109 AVENUE                      ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4095274,Sedan,,,,
8/31/2017,15:00,MANHATTAN,10025,40.80156,-73.96626,POINT (-73.96626 40.80156),,,237       WEST 107 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3741685,PASSENGER VEHICLE,,,,
10/15/2013,9:40,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2965458,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2/28/2020,0:21,,,,,,WEST SERVICE ROAD               ,,,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,4294518,Sedan,,,,
3/30/2015,14:40,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3196459,PASSENGER VEHICLE,,,,
11/20/2019,13:43,,,,,,EAST 122 STREET                 ,PALADINO AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4245681,Sedan,Sedan,,,
3/30/2015,15:45,,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3195050,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
10/14/2013,13:36,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2897617,LARGE COM VEH(6 OR MORE TIRES),SMALL COM VEH(4 TIRES) ,,,
2/28/2020,13:15,,,,,,,,24-55     BROOKLYN QUEENS EXPRESSWAY W/B,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4295258,Taxi,Taxi,,,
11/20/2019,16:00,,,,,,MARATHON PARKWAY                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4244619,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/11/2019,22:00,,,0,0,POINT (0 0),,,1551      RICHMOND AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4244187,Sedan,,,,
8/31/2017,19:30,,,,,,VANWYCK EXPRESSWAY              ,133 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3741449,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
8/31/2017,20:02,,,40.80398,-73.831085,POINT (-73.831085 40.80398),BRONX WHITESTONE BRIDGE         ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3741376,PASSENGER VEHICLE,,,,
2/28/2020,15:41,,,,,,VERRAZANO BRIDGE LOWER          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4296112,Sedan,Sedan,,,
3/30/2015,18:35,,,40.8929335,-73.8636581,POINT (-73.8636581 40.8929335),,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3194519,VAN,OTHER,,,
11/20/2019,18:41,,,,,,HUTCHINSON RIVER PARKWAY        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4244752,Pick-up Truck,Sedan,,,
3/10/2019,14:58,STATEN ISLAND,10304,40.62376,-74.08509,POINT (-74.08509 40.62376),,,657       VANDUZER STREET               ,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4095368,Sedan,,,,
11/22/2019,14:30,,,,,,PROSPECT EXPRESSWAY RAMP        ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4245842,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/20/2019,21:00,,,,,,,,95        EAST DRIVE                    ,1,0,0,0,0,0,1,0,Unspecified,,,,,4245065,skate,,,,
10/14/2013,18:50,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2919226,PASSENGER VEHICLE,UNKNOWN,,,
11/3/2019,2:10,,,,,,69 STREET                       ,BORDEN AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4234069,Sedan,Pick-up Truck,,,
10/14/2013,20:15,,,,,,,,PARKING LOT OF 1630 BRUCKNER BLVD       ,0,0,0,0,0,0,0,0,Unspecified,,,,,84106,PASSENGER VEHICLE,,,,
11/20/2019,7:15,,,,,,THROGS NECK BRIDGE              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4245384,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
3/10/2019,1:30,BROOKLYN,11208,40.684643,-73.874504,POINT (-73.874504 40.684643),,,152       EUCLID AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,4094774,Sedan,,,,
3/10/2019,21:05,,,,,,QUEENSBORO BRIDGE UPPER ROADWAY ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4094508,Sedan,Taxi,,,
3/30/2015,9:40,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,,,3195044,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
2/28/2020,5:15,,,,,,STATEN ISLAND EXPRESSWAY        ,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,,,,4296141,Tanker,,,,
3/10/2019,4:30,QUEENS,11367,,,,,,78-88     PARK DRIVE EAST               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4093836,Sedan,,,,
10/14/2013,9:45,,,,,,,,E/B B.Q.E. & ADAMS STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,190671,PASSENGER VEHICLE,UNKNOWN,,,
3/10/2019,5:20,,,,,,BRONX WHITESTONE BRIDGE         ,,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4094339,Sedan,,,,
10/13/2013,10:00,,,40.6924977,-73.8795327,POINT (-73.8795327 40.6924977),,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3003924,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/4/2019,19:05,,,,,,149 AVENUE                      ,NORTH CONDUIT AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4235572,Sedan,,,,
3/10/2019,8:08,,,,,,NEW ENGLAND THRUWAY             ,,,0,0,0,0,0,0,0,0,Glare,Unspecified,,,,4097050,Bus,Sedan,,,
3/29/2015,13:45,,,,,,,,LOT LESLIE ROAD                         ,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3196708,UNKNOWN,,,,
3/9/2019,0:12,,,40.725857,-73.86401,POINT (-73.86401 40.725857),ALDERTON STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4093498,Sedan,,,,
2/27/2020,11:40,,,40.67798,-73.872116,POINT (-73.872116 40.67798),LIBERTY AVENUE                  ,CONDUIT BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4294942,Sedan,Sedan,,,
11/19/2019,13:50,,,,,,LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4244465,Tractor Truck Diesel,Sedan,,,
10/13/2013,14:00,,,,,,,,MUNI LOT 1                              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,252561,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/19/2019,15:30,,,,,,61 AVENUE                       ,62 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4243980,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/19/2019,16:00,,,,,,UTOPIA PARKWAY                  ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4243981,Bus,Station Wagon/Sport Utility Vehicle,,,
10/13/2013,16:30,,,,,,,,FRONT OF 24 DEWHURST STREET             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,291676,PASSENGER VEHICLE,UNKNOWN,,,
3/9/2019,15:00,,,40.843994,-73.89752,POINT (-73.89752 40.843994),3 AVENUE                        ,CROSS BRONX EXPRESSWAY,,1,0,0,0,0,0,1,0,Illnes,,,,,4093881,Sedan,,,,
3/29/2015,18:49,,,,,,,,1772 RALPH AVENUE(PARKING LOT)          ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3194567,UNKNOWN,PASSENGER VEHICLE,,,
3/9/2019,15:35,,,,,,G.C.P. / LAGUARDIA (CDR)        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4093737,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/19/2019,18:40,,,,,,BRUCKNER EXPRESSWAY             ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4244905,Sedan,Sedan,,,
3/29/2015,20:00,,,,,,,,F/O 249 HOOKER PLACE                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3195461,PASSENGER VEHICLE,UNKNOWN,,,
8/30/2017,18:30,,,,,,BILLINGSLY TERRACE              ,PHELAN PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3740838,PASSENGER VEHICLE,,,,
10/13/2013,20:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2867874,,,,,
2/27/2020,19:08,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,2,0,0,0,0,0,2,0,Unspecified,,,,,4294473,Station Wagon/Sport Utility Vehicle,,,,
2/27/2020,20:20,BRONX,10462,40.832752,-73.844925,POINT (-73.844925 40.832752),ZEREGA AVENUE                   ,GLEASON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4294659,Sedan,Taxi,,,
11/19/2019,21:55,,,,,,PARK AVENUE                     ,RYERSON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4248772,Station Wagon/Sport Utility Vehicle,,,,
3/9/2019,19:28,,,,,,SHORE PARKWAY                   ,OCEAN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4094506,Sedan,Sedan,,,
2/27/2020,22:40,,,,,,PELHAM PARKWAY                  ,HUTCHINSON RIVER PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,,,,,4295429,Sedan,,,,
3/29/2015,6:53,,,,,,GENEVA LOOP                     ,PENNSYLVANIA AVENUE             ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3195172,PASSENGER VEHICLE,UNKNOWN,,,
8/30/2017,21:28,,,,,,NARROWS ROAD SOUTH              ,,,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3740601,,,,,
10/13/2013,4:02,,,,,,EAST HOUSTON STREET             ,F D R DRIVE                     ,,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,13460,PASSENGER VEHICLE,,,,
3/29/2015,8:20,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3194501,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/28/2015,10:10,,,,,,,,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3193946,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2/27/2020,7:54,,,,,,ELLINGTON PARKWAY               ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Turning Improperly,,,,4295773,Sedan,Sedan,,,
3/9/2019,5:00,,,,,,HENRY HUDSON PARKWAY RAMP       ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4094379,Sedan,,,,
